Golfer	                         Mean	                Standarddeviation
SergioGarcia             	 68.99802084636	  2.8022106094
TigerWoods               	 69.35135041782	  2.7891506279
KennyPerry               	 69.91471916678	   2.779164583
GonzaloFernandez-Castano 	 70.00454323213	 2.80730658184
RoryMcIlroy              	 70.03914628487	 2.81525581752
JohnCook                 	 70.07314839476	   2.748840518
JacoVanZyl              	 70.08926215876	 2.78426082931
BrandtSnedeker           	 70.17987728156	 2.77189131799
FrancescoMolinari        	 70.21681358363	 2.74834473201
MatteoManassero          	 70.22010792006	 2.77346484857
RoccoMediate             	 70.24975090651	 2.78827651594
PhilMickelson            	  70.2831986625	 2.77942880401
JustinRose               	 70.28785317825	 2.75785755538
JimFuryk                 	 70.29979751876	 2.74303206415
LukeDonald               	 70.31075778923	 2.75356932454
SouthAfrica              	 70.32676162032	   2.752106981
CharlSchwartzel          	 70.39461420897	 2.78476477706
DuffyWaldorf             	 70.40624211864	 2.75608325682
DarrenFichardt           	 70.42869494626	  2.7804524764
JayHaas                  	 70.44274917206	   2.712519019
